,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
210,0.0,1.0,5.0,22.0,156.0,51.0,14.0,1.0,5.0,,,,2.0,,,1.0
211,1.0,3.0,6.0,18.0,204.0,75.0,39.0,6.0,23.0,,,1.0,1.0,,,1.0
212,1.0,2.0,5.0,15.0,88.0,21.0,9.0,1.0,5.0,,,1.0,,,,1.0
213,0.0,0.0,2.0,2.0,137.0,40.0,16.0,5.0,4.0,1.0,,1.0,,,,1.0
214,0.0,1.0,2.0,19.0,160.0,40.0,14.0,0.0,6.0,2.0,1.0,1.0,,,,1.0
215,0.0,0.0,2.0,10.0,159.0,52.0,21.0,0.0,7.0,1.0,,1.0,3.0,,,1.0
216,2.0,3.0,7.0,7.0,91.0,21.0,5.0,1.0,1.0,1.0,,1.0,,,,1.0
217,2.0,5.0,12.0,22.0,104.0,46.0,10.0,1.0,10.0,2.0,,1.0,,,,1.0
218,3.0,8.0,14.0,1.0,81.0,22.0,14.0,0.0,2.0,,1.0,2.0,,,,1.0
219,1.0,3.0,9.0,38.0,353.0,131.0,41.0,3.0,15.0,3.0,,,2.0,,,1.0
220,2.0,5.0,5.0,9.0,87.0,16.0,6.0,1.0,0.0,,,1.0,,,,1.0
221,1.0,4.0,6.0,4.0,93.0,21.0,9.0,1.0,0.0,3.0,,1.0,,,,1.0
222,1.0,3.0,8.0,16.0,191.0,74.0,18.0,2.0,2.0,2.0,,1.0,,,,1.0
223,1.0,2.0,8.0,7.0,144.0,33.0,12.0,1.0,1.0,,1.0,1.0,,,,1.0
224,1.0,2.0,9.0,12.0,62.0,17.0,5.0,1.0,0.0,1.0,,1.0,,,,1.0
225,0.0,2.0,4.0,16.0,74.0,15.0,6.0,1.0,2.0,,1.0,1.0,1.0,,,1.0
226,0.0,1.0,3.0,12.0,161.0,73.0,20.0,2.0,10.0,1.0,6.0,1.0,2.0,,,1.0
227,2.0,3.0,9.0,16.0,155.0,20.0,9.0,1.0,3.0,2.0,,1.0,,,,1.0
228,1.0,1.0,4.0,13.0,172.0,58.0,17.0,0.0,21.0,3.0,1.0,,4.0,,,2.0
229,1.0,2.0,6.0,13.0,122.0,35.0,10.0,1.0,4.0,1.0,,2.0,,,,1.0
230,0.0,4.0,6.0,13.0,66.0,37.0,11.0,2.0,0.0,,,1.0,,,,1.0
231,0.0,1.0,2.0,7.0,149.0,38.0,14.0,0.0,9.0,4.0,1.0,,1.0,1.0,,1.0
232,1.0,1.0,7.0,9.0,130.0,52.0,19.0,1.0,8.0,,2.0,,4.0,,,1.0
233,1.0,3.0,5.0,8.0,129.0,30.0,8.0,0.0,6.0,1.0,1.0,,2.0,,,1.0
234,2.0,10.0,10.0,9.0,147.0,62.0,12.0,3.0,3.0,,1.0,2.0,,,,1.0
235,0.0,0.0,1.0,9.0,150.0,28.0,13.0,6.0,16.0,5.0,2.0,2.0,2.0,,,1.0
236,2.0,5.0,8.0,21.0,80.0,21.0,5.0,3.0,0.0,,,1.0,,,,1.0
237,2.0,3.0,6.0,5.0,138.0,32.0,10.0,3.0,4.0,,,3.0,1.0,,,1.0
238,0.0,1.0,0.0,15.0,163.0,54.0,13.0,2.0,3.0,,,1.0,1.0,,,1.0
239,1.0,4.0,8.0,6.0,101.0,36.0,8.0,1.0,1.0,,,1.0,,,,1.0
240,1.0,3.0,7.0,19.0,101.0,42.0,11.0,1.0,0.0,,,1.0,,,,1.0
241,0.0,0.0,3.0,50.0,475.0,124.0,40.0,2.0,8.0,3.0,3.0,1.0,,,,1.0
242,2.0,5.0,11.0,3.0,124.0,11.0,3.0,0.0,2.0,,,,2.0,,,1.0
243,0.0,1.0,5.0,29.0,179.0,28.0,19.0,2.0,3.0,,,1.0,1.0,1.0,,1.0
244,0.0,2.0,2.0,8.0,43.0,10.0,4.0,1.0,3.0,,,1.0,1.0,,,1.0
245,1.0,2.0,6.0,0.0,230.0,89.0,27.0,1.0,10.0,1.0,,,1.0,,,1.0
246,2.0,4.0,9.0,12.0,158.0,42.0,25.0,6.0,29.0,2.0,,1.0,1.0,,,1.0
247,1.0,4.0,12.0,14.0,69.0,19.0,6.0,3.0,0.0,,,1.0,,,,1.0
248,0.0,0.0,1.0,41.0,222.0,92.0,28.0,5.0,21.0,4.0,2.0,1.0,,,,1.0
249,0.0,1.0,2.0,33.0,122.0,64.0,20.0,5.0,6.0,2.0,,2.0,,,,1.0
