S-2-3-3-72-NR,0.0003566741943359375,18,[[[1, 1, 2, 1], [2, 2, 1, 1], [1, 2, 2, 2]], [[1, 1, 1, 2], [1, 1, 1, 2], [1, 2, 2, 2]], [[2, 2, 2, 1], [2, 2, 2, 1], [2, 2, 2, 2]]]
S-2-3-3-73-NR,0.0023870468139648438,145,[[[1, 2, 2, 1], [2, 1, 2, 2], [2, 2, 1, 2]], [[2, 1, 1, 2], [1, 2, 2, 1], [2, 2, 1, 1]], [[2, 2, 2, 2], [2, 1, 2, 2], [2, 1, 2, 1]]]
S-2-3-3-74-NR,0.0008320808410644531,58,[[[1, 2, 1, 1], [1, 1, 2, 2], [2, 1, 2, 2]], [[1, 1, 2, 1], [2, 2, 1, 1], [1, 2, 1, 2]], [[1, 1, 1, 2], [1, 1, 2, 1], [2, 2, 2, 2]]]
S-2-3-3-75-NR,0.0008649826049804688,69,[[[2, 2, 2, 2], [2, 2, 2, 2], [2, 1, 2, 1]], [[2, 2, 2, 2], [2, 2, 1, 1], [1, 1, 1, 1]], [[2, 2, 1, 1], [1, 1, 2, 2], [2, 1, 2, 2]]]
S-2-3-3-76-NR,0.005260944366455078,451,[[[2, 2, 1, 2], [1, 1, 1, 2], [1, 1, 2, 1]], [[1, 2, 2, 2], [2, 2, 1, 1], [1, 1, 2, 2]], [[1, 2, 2, 2], [2, 1, 2, 1], [2, 2, 2, 2]]]
S-2-3-3-77-NR,0.0056879520416259766,373,[[[1, 1, 2, 1], [2, 2, 2, 1], [2, 1, 1, 2]], [[1, 1, 1, 2], [1, 1, 1, 1], [1, 2, 1, 2]], [[2, 2, 2, 1], [2, 1, 2, 1], [2, 2, 1, 2]]]
S-2-3-3-78-NR,0.0006079673767089844,37,[[[1, 1, 1, 1], [1, 2, 1, 2], [1, 2, 1, 2]], [[2, 1, 1, 1], [1, 2, 2, 2], [2, 2, 2, 2]], [[1, 1, 2, 1], [2, 2, 1, 2], [1, 2, 2, 1]]]
S-2-3-3-79-NR,0.0023064613342285156,133,[[[2, 1, 1, 2], [1, 2, 2, 1], [2, 2, 2, 2]], [[1, 2, 2, 1], [2, 1, 1, 2], [1, 2, 2, 2]], [[2, 1, 1, 1], [1, 2, 1, 2], [1, 2, 2, 1]]]
S-2-3-3-80-NR,0.0003883838653564453,21,[[[1, 2, 1, 1], [1, 2, 1, 1], [1, 2, 2, 2]], [[2, 1, 1, 1], [1, 1, 1, 2], [1, 2, 1, 2]], [[1, 1, 1, 2], [1, 2, 2, 2], [2, 2, 1, 1]]]
S-2-3-3-81-NR,0.0073091983795166016,476,[[[2, 1, 1, 2], [1, 2, 1, 1], [1, 2, 1, 1]], [[2, 2, 2, 2], [2, 1, 1, 1], [1, 1, 2, 2]], [[1, 2, 2, 1], [2, 1, 2, 1], [2, 2, 1, 2]]]
